experience_years,grade,specialization,city,work_format,company_segment,education,posted_date,description,salary_rub
4,senior,frontend,nizhny_novgorod,office,mid_product,higher_general,2025-05-11,"Открыта позиция senior frontend. Технологии: Vue.js, Nuxt. Формат: офис.",295000
6,senior,mobile,moscow,office,enterprise,higher_general,2026-04-20,"Требуется mobile (senior). Flutter, Dart, office формат. Москва.",665000
15,lead,backend,moscow,office,bigtech,NA,2025-01-21,"Требуется backend (lead). Java, Spring, office формат. Москва.",955000
11,lead,mobile,rostov,remote,enterprise,higher_tech,2026-03-31,Открыта позиция lead mobile. Технологии: React Native. Формат: удалёнка.,410000
1,junior,data_science,spb,office,enterprise,not_specified,2026-02-06,"enterprise приглашает data_science. Требования: TensorFlow, Pandas, опыт 0.7+ лет.",130000
4,senior,mobile,rostov,office,smb,higher_tech,2025-10-23,"Открыта позиция senior mobile. Технологии: Kotlin, Android. Формат: офис.",285000
7,senior,backend,moscow,office,enterprise,not_specified,2026-04-17,"Вакансия backend senior: Go, gRPC. Зарплата по результатам собеседования.",485000
8,senior,devops,rostov,office,NA,not_specified,2025-02-02,"Открыта позиция senior devops. Технологии: Linux, Bash. Формат: офис.",515000
3,middle,devops,kazan,remote,mid_product,higher_general,2026-01-28,"Требуется devops (middle). CI/CD, GitLab, remote формат. Регион.",245000
1,junior,backend,moscow,NA,mid_product,not_specified,2026-02-11,"Вакансия backend junior: C#, .NET. Зарплата по результатам собеседования.",135000
5,senior,backend,kazan,NA,mid_product,not_specified,2025-12-06,"Требуется backend (senior). Go, gRPC, remote формат. Регион.",325000
2,middle,backend,kazan,office,enterprise,not_specified,2025-09-16,"Ищем middle backend в команду. Стек: Go, gRPC. Опыт от 2.4+ лет.",220000
3,middle,frontend,moscow,office,NA,higher_general,2026-03-18,"enterprise приглашает frontend. Требования: Next.js, Tailwind, опыт 2.9+ лет.",290000
3,middle,backend,moscow,remote,enterprise,higher_tech,2025-08-13,"Вакансия backend middle: Java, Spring. Зарплата по результатам собеседования.",335000
2,middle,qa,spb,office,mid_product,not_specified,NA,"Вакансия qa middle: Java, JUnit. Зарплата по результатам собеседования.",195000
5,senior,data_science,moscow,hybrid,mid_product,not_specified,NA,"Вакансия data_science senior: TensorFlow, Pandas. Зарплата по результатам собеседования.",410000
NA,middle,data_science,moscow,office,smb,NA,2025-05-31,"Требуется data_science (middle). SQL, Spark, office формат. Москва.",265000
2,middle,backend,ekaterinburg,office,mid_product,not_specified,2026-03-29,"Вакансия backend middle: C#, .NET. Зарплата по результатам собеседования.",560000
4,middle,backend,kazan,office,outsource,NA,2025-09-11,"Ищем middle backend в команду. Стек: Go, gRPC. Опыт от 3.7+ лет.",210000
0,intern,qa,moscow,remote,mid_product,not_specified,2025-06-10,"Ищем intern qa в команду. Стек: Cypress, JS. Опыт от 0.1+ лет.",45000
1,junior,frontend,moscow,office,outsource,not_specified,2025-01-22,"Открыта позиция junior frontend. Технологии: Vue.js, Nuxt. Формат: офис.",105000
8,senior,frontend,spb,remote,enterprise,NA,2026-05-31,"Ищем senior frontend в команду. Стек: Angular, RxJS. Опыт от 7.5+ лет.",365000
15,lead,backend,spb,remote,NA,not_specified,2025-04-09,"Ищем lead backend в команду. Стек: Node.js, Express. Опыт от 14.7+ лет.",600000
2,middle,backend,moscow,office,NA,not_specified,2025-11-19,"Требуется backend (middle). Python, Django, office формат. Москва.",285000
